Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.1417±0.0243,0.1625±0.0340,0.2987±0.0543,0.4702±0.0416,0.6387±0.0147,0.5989±0.0198,0.5145±0.0254,0.4330±0.0217,0.7777±0.0430,0.8114±0.0251,0.8567±0.0317,0.8833±0.0237,0.6722±0.0246,0.6550±0.0182,0.6068±0.0213,0.5511±0.0166,0.7675±0.0193,0.7312±0.0181,0.6484±0.0255,0.5558±0.0224,0.5775±0.0271,0.5516±0.0229,0.4843±0.0245,0.4145±0.0182,0.6594±0.0277,0.6390±0.0217,0.5913±0.0225,0.5440±0.0154,0.5863±0.0143,0.5388±0.0223,0.4602±0.0236,0.3993±0.0159,0.7694±0.0427,0.8009±0.0249,0.8467±0.0348,0.8756±0.0244,0.3096±0.0914,0.3330±0.0633,0.4955±0.0751,0.6535±0.0741,0.6758±0.0245,0.6526±0.0210,0.6024±0.0212,0.5529±0.0157,0.5972±0.0155,0.5463±0.0231,0.4657±0.0235,0.4030±0.0167,0.7787±0.0414,0.8109±0.0244,0.8548±0.0322,0.8818±0.0222,0.2951±0.0391,0.2485±0.0390,0.1407±0.0330,0.0557±0.0211
PartialOrder__Hamming__None,0.1428±0.0207,0.1687±0.0320,0.3144±0.0529,0.4866±0.0389,0.6310±0.0171,0.5908±0.0199,0.5102±0.0244,0.4299±0.0217,0.7836±0.0470,0.8182±0.0264,0.8662±0.0291,0.8905±0.0213,0.6701±0.0260,0.6528±0.0191,0.6077±0.0211,0.5511±0.0173,0.7642±0.0214,0.7276±0.0190,0.6464±0.0256,0.5529±0.0231,0.5744±0.0277,0.5474±0.0232,0.4840±0.0244,0.4139±0.0191,0.6581±0.0285,0.6381±0.0224,0.5930±0.0230,0.5449±0.0163,0.5811±0.0154,0.5342±0.0224,0.4591±0.0238,0.3986±0.0165,0.7753±0.0450,0.8078±0.0261,0.8565±0.0325,0.8840±0.0228,0.3250±0.0793,0.3504±0.0672,0.5107±0.0707,0.6651±0.0706,0.6745±0.0263,0.6516±0.0216,0.6036±0.0218,0.5536±0.0166,0.5915±0.0176,0.5418±0.0229,0.4644±0.0236,0.4020±0.0174,0.7851±0.0439,0.8180±0.0251,0.8643±0.0303,0.8899±0.0201,0.2883±0.0369,0.2374±0.0358,0.1359±0.0316,0.0530±0.0233
PartialOrder__Subset__2,0.1414±0.0241,0.1617±0.0355,0.2976±0.0549,0.4696±0.0418,0.6379±0.0146,0.5986±0.0199,0.5148±0.0260,0.4326±0.0217,0.7777±0.0430,0.8102±0.0252,0.8559±0.0321,0.8822±0.0237,0.6718±0.0246,0.6544±0.0183,0.6066±0.0219,0.5505±0.0165,0.7675±0.0197,0.7307±0.0181,0.6486±0.0257,0.5554±0.0221,0.5771±0.0271,0.5511±0.0232,0.4842±0.0251,0.4139±0.0183,0.6594±0.0280,0.6382±0.0220,0.5913±0.0227,0.5435±0.0151,0.5865±0.0143,0.5385±0.0225,0.4603±0.0239,0.3991±0.0158,0.7694±0.0427,0.7996±0.0253,0.8461±0.0351,0.8748±0.0241,0.3064±0.0917,0.3335±0.0615,0.4963±0.0751,0.6541±0.0719,0.6758±0.0248,0.6518±0.0211,0.6023±0.0215,0.5524±0.0155,0.5972±0.0155,0.5459±0.0232,0.4658±0.0237,0.4027±0.0166,0.7787±0.0414,0.8096±0.0246,0.8542±0.0327,0.8809±0.0221,0.2951±0.0408,0.2485±0.0395,0.1410±0.0341,0.0553±0.0216
PartialOrder__Subset__None,0.1447±0.0191,0.1681±0.0324,0.3152±0.0524,0.4868±0.0381,0.6299±0.0165,0.5906±0.0200,0.5106±0.0245,0.4298±0.0213,0.7827±0.0460,0.8176±0.0261,0.8671±0.0288,0.8905±0.0214,0.6693±0.0252,0.6523±0.0190,0.6083±0.0211,0.5510±0.0169,0.7636±0.0209,0.7273±0.0188,0.6469±0.0255,0.5527±0.0226,0.5733±0.0269,0.5470±0.0231,0.4846±0.0245,0.4137±0.0186,0.6571±0.0276,0.6376±0.0224,0.5936±0.0228,0.5448±0.0157,0.5803±0.0147,0.5339±0.0225,0.4595±0.0238,0.3984±0.0161,0.7741±0.0438,0.8072±0.0259,0.8575±0.0319,0.8840±0.0226,0.3250±0.0793,0.3509±0.0667,0.5116±0.0705,0.6642±0.0690,0.6737±0.0256,0.6511±0.0215,0.6043±0.0217,0.5534±0.0161,0.5908±0.0168,0.5414±0.0230,0.4648±0.0236,0.4019±0.0170,0.7841±0.0431,0.8174±0.0249,0.8653±0.0298,0.8897±0.0202,0.2866±0.0370,0.2374±0.0356,0.1366±0.0321,0.0530±0.0238
PreOrder__Hamming__2,0.1840±0.0259,0.1842±0.0282,0.1831±0.0460,0.1648±0.0416,0.6747±0.0137,0.6737±0.0223,0.6333±0.0260,0.5752±0.0278,0.7133±0.0367,0.7098±0.0253,0.6944±0.0282,0.6903±0.0318,0.6622±0.0208,0.6578±0.0183,0.6271±0.0194,0.5938±0.0223,0.7830±0.0173,0.7795±0.0161,0.7506±0.0163,0.7181±0.0184,0.5760±0.0232,0.5673±0.0223,0.5297±0.0222,0.4846±0.0275,0.6491±0.0305,0.6462±0.0229,0.6125±0.0210,0.5844±0.0242,0.6176±0.0190,0.6173±0.0213,0.5710±0.0253,0.5257±0.0255,0.6993±0.0412,0.6924±0.0273,0.6763±0.0264,0.6712±0.0357,0.4376±0.1117,0.4113±0.0898,0.3832±0.0993,0.3377±0.1069,0.6712±0.0270,0.6661±0.0214,0.6330±0.0191,0.6013±0.0221,0.6349±0.0193,0.6305±0.0219,0.5851±0.0264,0.5380±0.0259,0.7126±0.0404,0.7063±0.0273,0.6905±0.0240,0.6830±0.0319,0.3238±0.0289,0.3015±0.0393,0.2496±0.0382,0.1744±0.0485
PreOrder__Hamming__None,0.1594±0.0173,0.1513±0.0310,0.1562±0.0449,0.1985±0.0342,0.6523±0.0100,0.6359±0.0157,0.5894±0.0221,0.5100±0.0211,0.7628±0.0324,0.7762±0.0293,0.7826±0.0309,0.7977±0.0241,0.6729±0.0160,0.6686±0.0181,0.6419±0.0203,0.5942±0.0160,0.7771±0.0129,0.7710±0.0165,0.7386±0.0167,0.6773±0.0163,0.5814±0.0210,0.5715±0.0215,0.5351±0.0238,0.4707±0.0198,0.6598±0.0228,0.6608±0.0209,0.6353±0.0212,0.5931±0.0185,0.5992±0.0111,0.5906±0.0171,0.5478±0.0212,0.4827±0.0199,0.7474±0.0346,0.7607±0.0294,0.7691±0.0296,0.7839±0.0247,0.3568±0.1144,0.3246±0.0631,0.3610±0.0855,0.4224±0.0702,0.6799±0.0198,0.6782±0.0187,0.6508±0.0200,0.6051±0.0175,0.6147±0.0128,0.6032±0.0169,0.5574±0.0218,0.4891±0.0196,0.7611±0.0355,0.7750±0.0270,0.7825±0.0281,0.7941±0.0224,0.3103±0.0434,0.2819±0.0357,0.2192±0.0379,0.1103±0.0328
PreOrder__Subset__2,0.1832±0.0289,0.1901±0.0280,0.1944±0.0460,0.1724±0.0404,0.6871±0.0189,0.6812±0.0233,0.6387±0.0275,0.5773±0.0295,0.6874±0.0347,0.6816±0.0302,0.6671±0.0340,0.6648±0.0286,0.6553±0.0171,0.6468±0.0192,0.6159±0.0228,0.5827±0.0222,0.7819±0.0158,0.7759±0.0162,0.7466±0.0177,0.7148±0.0170,0.5693±0.0164,0.5562±0.0219,0.5184±0.0255,0.4745±0.0245,0.6410±0.0281,0.6339±0.0234,0.5990±0.0250,0.5716±0.0232,0.6230±0.0218,0.6183±0.0214,0.5693±0.0284,0.5220±0.0259,0.6722±0.0384,0.6636±0.0317,0.6474±0.0314,0.6455±0.0308,0.4311±0.0981,0.4226±0.0874,0.3967±0.1029,0.3574±0.1037,0.6607±0.0246,0.6521±0.0222,0.6187±0.0220,0.5889±0.0213,0.6405±0.0193,0.6313±0.0214,0.5831±0.0284,0.5349±0.0267,0.6830±0.0383,0.6749±0.0314,0.6602±0.0285,0.6563±0.0269,0.3204±0.0187,0.2900±0.0339,0.2395±0.0412,0.1720±0.0348
PreOrder__Subset__None,0.1609±0.0197,0.1506±0.0298,0.1554±0.0469,0.2003±0.0340,0.6516±0.0094,0.6342±0.0156,0.5893±0.0218,0.5095±0.0210,0.7634±0.0320,0.7755±0.0274,0.7823±0.0307,0.7986±0.0248,0.6725±0.0152,0.6673±0.0177,0.6415±0.0201,0.5938±0.0158,0.7765±0.0154,0.7697±0.0168,0.7379±0.0172,0.6761±0.0164,0.5812±0.0187,0.5699±0.0218,0.5346±0.0236,0.4700±0.0202,0.6598±0.0241,0.6592±0.0213,0.6344±0.0219,0.5927±0.0186,0.5982±0.0150,0.5882±0.0179,0.5472±0.0215,0.4817±0.0201,0.7481±0.0349,0.7598±0.0285,0.7684±0.0300,0.7851±0.0259,0.3489±0.1135,0.3265±0.0625,0.3598±0.0893,0.4263±0.0733,0.6797±0.0206,0.6768±0.0191,0.6499±0.0205,0.6044±0.0177,0.6138±0.0149,0.6013±0.0176,0.5567±0.0222,0.4879±0.0200,0.7621±0.0349,0.7744±0.0264,0.7816±0.0285,0.7950±0.0235,0.3103±0.0390,0.2799±0.0365,0.2199±0.0381,0.1090±0.0348
br,0.3310±0.0252,0.3291±0.0344,0.3229±0.0375,0.2929±0.0387,0.6756±0.0260,0.6636±0.0248,0.6313±0.0295,0.5701±0.0356,0.6217±0.0234,0.6025±0.0275,0.5864±0.0383,0.5645±0.0438,0.6194±0.0250,0.6018±0.0219,0.5765±0.0293,0.5337±0.0339,0.8198±0.0133,0.8096±0.0111,0.7919±0.0128,0.7503±0.0137,0.5475±0.0278,0.5263±0.0247,0.4957±0.0295,0.4466±0.0304,0.6525±0.0317,0.6338±0.0279,0.6134±0.0267,0.5627±0.0258,0.7676±0.0278,0.7417±0.0315,0.6932±0.0370,0.5936±0.0310,0.6030±0.0333,0.5834±0.0344,0.5704±0.0341,0.5539±0.0345,0.6978±0.0896,0.6983±0.0826,0.6240±0.0831,0.5859±0.1289,0.6824±0.0295,0.6629±0.0224,0.6366±0.0264,0.5848±0.0240,0.7545±0.0279,0.7380±0.0221,0.6975±0.0328,0.6070±0.0268,0.6234±0.0345,0.6025±0.0314,0.5868±0.0353,0.5659±0.0381,0.3305±0.0367,0.2941±0.0435,0.2482±0.0413,0.1889±0.0326
cc,0.3290±0.0158,0.3242±0.0260,0.3107±0.0461,0.2737±0.0486,0.6863±0.0297,0.6596±0.0303,0.6280±0.0381,0.5742±0.0411,0.6248±0.0123,0.6064±0.0300,0.5952±0.0387,0.5802±0.0461,0.6239±0.0200,0.6022±0.0267,0.5810±0.0333,0.5439±0.0392,0.8139±0.0120,0.8061±0.0121,0.7916±0.0122,0.7536±0.0168,0.5467±0.0235,0.5262±0.0285,0.5018±0.0326,0.4557±0.0365,0.6406±0.0294,0.6310±0.0276,0.6126±0.0279,0.5758±0.0343,0.7471±0.0318,0.7261±0.0279,0.6827±0.0237,0.6019±0.0274,0.6011±0.0288,0.5846±0.0295,0.5781±0.0385,0.5671±0.0476,0.7331±0.0681,0.6722±0.0805,0.6463±0.0981,0.5194±0.1245,0.6762±0.0262,0.6594±0.0267,0.6389±0.0290,0.5928±0.0320,0.7367±0.0310,0.7271±0.0328,0.6930±0.0268,0.6108±0.0311,0.6253±0.0265,0.6040±0.0305,0.5943±0.0421,0.5777±0.0462,0.3153±0.0420,0.2938±0.0390,0.2617±0.0380,0.1983±0.0328
