Algorithm Type,Metric,Height,Prediction Type,Base Learner,Noisy Rate,Metric,Mean,Std
Pre,orders,Hamming,Preference_order,Learner1,0.0,hamming_accuracy_PRE_ORDER,0.5069315374205297,0.3509738858149312
Pre,orders,Hamming,Preference_order,Learner1,0.0,subset0_1_accuracy_PRE_ORDER,0.5581404036603128,0.3077624888314115
Pre,orders,Hamming,Preference_order,Learner1,0.1,hamming_accuracy_PRE_ORDER,0.38027240883341507,0.2334969168638198
Pre,orders,Hamming,Preference_order,Learner1,0.1,subset0_1_accuracy_PRE_ORDER,0.48362397612910646,0.26945082472639714
Pre,orders,Hamming,Preference_order,Learner2,0.0,hamming_accuracy_PRE_ORDER,0.44729600227636307,0.23790901509388943
Pre,orders,Hamming,Preference_order,Learner2,0.0,subset0_1_accuracy_PRE_ORDER,0.42814330874359285,0.4262934471517094
Pre,orders,Hamming,Preference_order,Learner2,0.1,hamming_accuracy_PRE_ORDER,0.6054513374916151,0.1355832101519093
Pre,orders,Hamming,Preference_order,Learner2,0.1,subset0_1_accuracy_PRE_ORDER,0.3225721618231166,0.24101777277731296
Pre,orders,Hamming,Binary_vector,Learner1,0.0,hamming_accuracy_PRE_ORDER,0.5672706348114895,0.21469845592746792
Pre,orders,Hamming,Binary_vector,Learner1,0.0,subset0_1_accuracy_PRE_ORDER,0.6431846713046572,0.22767974940704508
Pre,orders,Hamming,Binary_vector,Learner1,0.1,hamming_accuracy_PRE_ORDER,0.6358077379304954,0.13000877456262838
Pre,orders,Hamming,Binary_vector,Learner1,0.1,subset0_1_accuracy_PRE_ORDER,0.602004735943692,0.20570304747207843
Pre,orders,Hamming,Binary_vector,Learner2,0.0,hamming_accuracy_PRE_ORDER,0.786804394799758,0.12899303761475822
Pre,orders,Hamming,Binary_vector,Learner2,0.0,subset0_1_accuracy_PRE_ORDER,0.6372019443516435,0.20861941314571145
Pre,orders,Hamming,Binary_vector,Learner2,0.1,hamming_accuracy_PRE_ORDER,0.5840860846640479,0.16183473778787458
Pre,orders,Hamming,Binary_vector,Learner2,0.1,subset0_1_accuracy_PRE_ORDER,0.5970756746449813,0.24721177634943547
Pre,orders,Hamming,Preference_order,Learner1,0.0,hamming_accuracy_PRE_ORDER,0.412600948749677,0.3665081193301917
Pre,orders,Hamming,Preference_order,Learner1,0.0,subset0_1_accuracy_PRE_ORDER,0.519465186972244,0.2154114604447994
Pre,orders,Hamming,Preference_order,Learner1,0.1,hamming_accuracy_PRE_ORDER,0.3300839645671381,0.2237818994256152
Pre,orders,Hamming,Preference_order,Learner1,0.1,subset0_1_accuracy_PRE_ORDER,0.612665062386,0.2478372746141301
Pre,orders,Hamming,Preference_order,Learner2,0.0,hamming_accuracy_PRE_ORDER,0.15455810681260293,0.13717134515038132
Pre,orders,Hamming,Preference_order,Learner2,0.0,subset0_1_accuracy_PRE_ORDER,0.35742961297251075,0.14804087577128983
Pre,orders,Hamming,Preference_order,Learner2,0.1,hamming_accuracy_PRE_ORDER,0.6795446983962259,0.2588244756398872
Pre,orders,Hamming,Preference_order,Learner2,0.1,subset0_1_accuracy_PRE_ORDER,0.25729146867863506,0.2881160791332751
Pre,orders,Hamming,Binary_vector,Learner1,0.0,hamming_accuracy_PRE_ORDER,0.28313632783605086,0.10978627351313251
Pre,orders,Hamming,Binary_vector,Learner1,0.0,subset0_1_accuracy_PRE_ORDER,0.7596898890738514,0.15539806810942466
Pre,orders,Hamming,Binary_vector,Learner1,0.1,hamming_accuracy_PRE_ORDER,0.5561901172111864,0.28677672650709973
Pre,orders,Hamming,Binary_vector,Learner1,0.1,subset0_1_accuracy_PRE_ORDER,0.5744612332267223,0.2715436196362188
Pre,orders,Hamming,Binary_vector,Learner2,0.0,hamming_accuracy_PRE_ORDER,0.36749401238365387,0.21948363530544115
Pre,orders,Hamming,Binary_vector,Learner2,0.0,subset0_1_accuracy_PRE_ORDER,0.4453945856660546,0.2917306525196397
Pre,orders,Hamming,Binary_vector,Learner2,0.1,hamming_accuracy_PRE_ORDER,0.4755049902017016,0.31038321663896073
Pre,orders,Hamming,Binary_vector,Learner2,0.1,subset0_1_accuracy_PRE_ORDER,0.4514608895369093,0.2744829525998185
Pre,orders,Subset,Preference_order,Learner1,0.0,hamming_accuracy_PRE_ORDER,0.5546378815211674,0.23614630766749653
Pre,orders,Subset,Preference_order,Learner1,0.0,subset0_1_accuracy_PRE_ORDER,0.5168691550840634,0.25485484705949124
Pre,orders,Subset,Preference_order,Learner1,0.1,hamming_accuracy_PRE_ORDER,0.5552079735320816,0.3367343733087021
Pre,orders,Subset,Preference_order,Learner1,0.1,subset0_1_accuracy_PRE_ORDER,0.27108377169722453,0.12782870034275293
Pre,orders,Subset,Preference_order,Learner2,0.0,hamming_accuracy_PRE_ORDER,0.6680894963753656,0.3243316856806192
Pre,orders,Subset,Preference_order,Learner2,0.0,subset0_1_accuracy_PRE_ORDER,0.453512265650177,0.25781947105577496
Pre,orders,Subset,Preference_order,Learner2,0.1,hamming_accuracy_PRE_ORDER,0.5547986257262562,0.3464258478021191
Pre,orders,Subset,Preference_order,Learner2,0.1,subset0_1_accuracy_PRE_ORDER,0.5448358076393747,0.34486288788005387
Pre,orders,Subset,Binary_vector,Learner1,0.0,hamming_accuracy_PRE_ORDER,0.46660498047739035,0.21348437485670496
Pre,orders,Subset,Binary_vector,Learner1,0.0,subset0_1_accuracy_PRE_ORDER,0.41159673341388353,0.3272895443637808
Pre,orders,Subset,Binary_vector,Learner1,0.1,hamming_accuracy_PRE_ORDER,0.5914837214326999,0.20078676175020316
Pre,orders,Subset,Binary_vector,Learner1,0.1,subset0_1_accuracy_PRE_ORDER,0.5264571846550182,0.33969095485706136
Pre,orders,Subset,Binary_vector,Learner2,0.0,hamming_accuracy_PRE_ORDER,0.5502230223551452,0.3705701085403799
Pre,orders,Subset,Binary_vector,Learner2,0.0,subset0_1_accuracy_PRE_ORDER,0.6545014834705587,0.2752276988869292
Pre,orders,Subset,Binary_vector,Learner2,0.1,hamming_accuracy_PRE_ORDER,0.5201506003501448,0.35369340042183584
Pre,orders,Subset,Binary_vector,Learner2,0.1,subset0_1_accuracy_PRE_ORDER,0.4762302571928919,0.2836865342016657
Pre,orders,Subset,Preference_order,Learner1,0.0,hamming_accuracy_PRE_ORDER,0.22911736422778706,0.23560608907444744
Pre,orders,Subset,Preference_order,Learner1,0.0,subset0_1_accuracy_PRE_ORDER,0.5425427352898495,0.1534276259456727
Pre,orders,Subset,Preference_order,Learner1,0.1,hamming_accuracy_PRE_ORDER,0.7008753454610374,0.2446650926987892
Pre,orders,Subset,Preference_order,Learner1,0.1,subset0_1_accuracy_PRE_ORDER,0.4083027484269851,0.3019488082725469
Pre,orders,Subset,Preference_order,Learner2,0.0,hamming_accuracy_PRE_ORDER,0.3703280526810636,0.2657013943624405
Pre,orders,Subset,Preference_order,Learner2,0.0,subset0_1_accuracy_PRE_ORDER,0.5114046473427243,0.15209179569935707
Pre,orders,Subset,Preference_order,Learner2,0.1,hamming_accuracy_PRE_ORDER,0.4509482345698853,0.230884960873665
Pre,orders,Subset,Preference_order,Learner2,0.1,subset0_1_accuracy_PRE_ORDER,0.74323280400398,0.25281181662165203
Pre,orders,Subset,Binary_vector,Learner1,0.0,hamming_accuracy_PRE_ORDER,0.7194007137820043,0.16724533975815162
Pre,orders,Subset,Binary_vector,Learner1,0.0,subset0_1_accuracy_PRE_ORDER,0.7904658855086184,0.1843838374257864
Pre,orders,Subset,Binary_vector,Learner1,0.1,hamming_accuracy_PRE_ORDER,0.6900381215899486,0.06684880307949259
Pre,orders,Subset,Binary_vector,Learner1,0.1,subset0_1_accuracy_PRE_ORDER,0.343836772387409,0.3191273275300493
Pre,orders,Subset,Binary_vector,Learner2,0.0,hamming_accuracy_PRE_ORDER,0.6455628067630604,0.2819387992671272
