Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.6876876876876876,0.012881447801517858
RF,CLR,subset0_1,0.08468468468468467,0.027087020501572804
RF,CLR,f1,0.5131359931359928,0.017770716088272392
XGBoost,CLR,hamming_accuracy,0.693993993993994,0.011914014669596037
XGBoost,CLR,subset0_1,0.1153153153153153,0.03036450368712201
XGBoost,CLR,f1,0.5450107250107246,0.021988741634428155
ETC,CLR,hamming_accuracy,0.6837837837837837,0.014882296328365
ETC,CLR,subset0_1,0.0846846846846847,0.02457330035492947
ETC,CLR,f1,0.49948090948090906,0.022173979360246187
LightGBM,CLR,hamming_accuracy,0.687987987987988,0.01310355809565856
LightGBM,CLR,subset0_1,0.08828828828828829,0.018374845094028053
LightGBM,CLR,f1,0.5418375518375513,0.02339283197188888
