Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.7853±0.0118,0.8406±0.0225,0.8776±0.0322,0.8734±0.0276,0.1254±0.0066,0.1045±0.0076,0.0924±0.0021,0.0887±0.0011,0.9333±0.0036,0.9562±0.0046,0.9708±0.0070,0.9658±0.0073,0.1932±0.0066,0.1766±0.0073,0.1655±0.0027,0.1608±0.0017,0.2029±0.0090,0.1763±0.0143,0.1557±0.0092,0.1491±0.0057,0.1231±0.0063,0.1036±0.0070,0.0923±0.0020,0.0886±0.0010,0.1477±0.0019,0.1468±0.0020,0.1459±0.0022,0.1441±0.0015,0.0886±0.0012,0.0875±0.0012,0.0868±0.0012,0.0857±0.0009,0.9191±0.0095,0.9428±0.0116,0.9561±0.0250,0.9449±0.0245,0.9735±0.0065,0.9836±0.0039,0.9795±0.0091,0.9749±0.0095,0.1650±0.0019,0.1641±0.0027,0.1628±0.0022,0.1611±0.0016,0.0905±0.0011,0.0898±0.0016,0.0888±0.0013,0.0879±0.0009,0.9304±0.0044,0.9550±0.0048,0.9694±0.0067,0.9654±0.0061,0.0319±0.0065,0.0098±0.0063,0.0011±0.0014,0.0000±0.0000
PartialOrder__Hamming__None,0.7854±0.0118,0.8407±0.0226,0.8779±0.0321,0.8738±0.0276,0.1255±0.0065,0.1046±0.0076,0.0924±0.0021,0.0887±0.0010,0.9336±0.0034,0.9565±0.0049,0.9712±0.0065,0.9661±0.0073,0.1934±0.0065,0.1767±0.0072,0.1656±0.0027,0.1608±0.0017,0.2029±0.0090,0.1763±0.0142,0.1557±0.0092,0.1489±0.0057,0.1232±0.0063,0.1037±0.0070,0.0923±0.0020,0.0886±0.0010,0.1478±0.0019,0.1468±0.0020,0.1459±0.0022,0.1441±0.0015,0.0886±0.0012,0.0876±0.0012,0.0868±0.0012,0.0857±0.0009,0.9192±0.0095,0.9429±0.0116,0.9563±0.0250,0.9450±0.0244,0.9745±0.0074,0.9839±0.0041,0.9798±0.0094,0.9751±0.0092,0.1651±0.0019,0.1642±0.0027,0.1628±0.0022,0.1611±0.0016,0.0906±0.0011,0.0898±0.0016,0.0889±0.0013,0.0879±0.0009,0.9307±0.0042,0.9553±0.0050,0.9698±0.0063,0.9657±0.0061,0.0319±0.0065,0.0098±0.0063,0.0011±0.0014,0.0000±0.0000
PartialOrder__Subset__2,0.7853±0.0118,0.8406±0.0225,0.8777±0.0323,0.8736±0.0278,0.1254±0.0066,0.1045±0.0076,0.0924±0.0021,0.0888±0.0011,0.9333±0.0036,0.9562±0.0046,0.9708±0.0069,0.9659±0.0073,0.1932±0.0066,0.1766±0.0073,0.1655±0.0027,0.1608±0.0017,0.2029±0.0090,0.1763±0.0143,0.1557±0.0091,0.1491±0.0056,0.1231±0.0063,0.1036±0.0070,0.0923±0.0020,0.0887±0.0011,0.1477±0.0019,0.1468±0.0020,0.1459±0.0022,0.1441±0.0015,0.0886±0.0012,0.0875±0.0012,0.0868±0.0012,0.0857±0.0009,0.9191±0.0095,0.9428±0.0116,0.9562±0.0251,0.9450±0.0247,0.9735±0.0065,0.9836±0.0039,0.9795±0.0091,0.9756±0.0092,0.1650±0.0019,0.1641±0.0027,0.1628±0.0022,0.1612±0.0016,0.0905±0.0011,0.0898±0.0016,0.0888±0.0013,0.0879±0.0009,0.9304±0.0044,0.9550±0.0048,0.9694±0.0067,0.9656±0.0061,0.0319±0.0065,0.0098±0.0063,0.0011±0.0014,0.0000±0.0000
PartialOrder__Subset__None,0.7854±0.0118,0.8407±0.0226,0.8780±0.0321,0.8740±0.0278,0.1255±0.0065,0.1046±0.0076,0.0925±0.0021,0.0888±0.0011,0.9336±0.0034,0.9565±0.0049,0.9713±0.0065,0.9662±0.0073,0.1934±0.0065,0.1767±0.0072,0.1656±0.0027,0.1609±0.0017,0.2029±0.0090,0.1763±0.0142,0.1556±0.0091,0.1489±0.0056,0.1232±0.0063,0.1037±0.0070,0.0923±0.0020,0.0887±0.0010,0.1478±0.0019,0.1468±0.0020,0.1459±0.0022,0.1441±0.0015,0.0886±0.0012,0.0876±0.0012,0.0868±0.0013,0.0857±0.0009,0.9192±0.0095,0.9429±0.0116,0.9564±0.0250,0.9451±0.0247,0.9745±0.0074,0.9839±0.0041,0.9798±0.0094,0.9758±0.0089,0.1651±0.0019,0.1642±0.0027,0.1628±0.0022,0.1612±0.0016,0.0906±0.0011,0.0898±0.0016,0.0889±0.0013,0.0879±0.0009,0.9307±0.0042,0.9553±0.0050,0.9700±0.0063,0.9659±0.0061,0.0319±0.0065,0.0098±0.0063,0.0011±0.0014,0.0000±0.0000
PreOrder__Hamming__2,0.7490±0.0197,0.7277±0.0299,0.6130±0.0432,0.3585±0.0295,0.1234±0.0066,0.1161±0.0105,0.1138±0.0070,0.1212±0.0064,0.9083±0.0063,0.8968±0.0058,0.8728±0.0094,0.8026±0.0135,0.1896±0.0062,0.1845±0.0097,0.1869±0.0073,0.2010±0.0071,0.2103±0.0085,0.2232±0.0155,0.2795±0.0200,0.4127±0.0174,0.1207±0.0057,0.1141±0.0094,0.1121±0.0065,0.1196±0.0064,0.1464±0.0014,0.1459±0.0023,0.1482±0.0027,0.1513±0.0023,0.0882±0.0007,0.0880±0.0013,0.0900±0.0016,0.0933±0.0011,0.8942±0.0162,0.8873±0.0178,0.8348±0.0241,0.7024±0.0429,0.9633±0.0108,0.9445±0.0138,0.9065±0.0243,0.8288±0.0525,0.1624±0.0012,0.1632±0.0028,0.1696±0.0032,0.1876±0.0038,0.0892±0.0007,0.0898±0.0017,0.0940±0.0020,0.1062±0.0024,0.9047±0.0040,0.8945±0.0059,0.8690±0.0106,0.8005±0.0119,0.0306±0.0043,0.0217±0.0072,0.0118±0.0039,0.0045±0.0034
PreOrder__Hamming__None,0.7461±0.0229,0.7230±0.0291,0.6072±0.0433,0.3640±0.0292,0.1245±0.0064,0.1173±0.0103,0.1149±0.0076,0.1205±0.0047,0.9096±0.0052,0.8973±0.0072,0.8774±0.0088,0.8185±0.0101,0.1907±0.0061,0.1859±0.0094,0.1892±0.0081,0.2027±0.0056,0.2123±0.0084,0.2262±0.0157,0.2844±0.0204,0.4145±0.0162,0.1218±0.0056,0.1152±0.0092,0.1134±0.0070,0.1194±0.0048,0.1467±0.0014,0.1461±0.0022,0.1489±0.0029,0.1521±0.0023,0.0884±0.0007,0.0881±0.0013,0.0903±0.0017,0.0933±0.0011,0.8933±0.0174,0.8856±0.0167,0.8333±0.0242,0.7072±0.0410,0.9652±0.0111,0.9477±0.0137,0.9177±0.0231,0.8596±0.0470,0.1630±0.0012,0.1638±0.0028,0.1714±0.0035,0.1913±0.0038,0.0895±0.0007,0.0901±0.0017,0.0951±0.0022,0.1083±0.0024,0.9057±0.0034,0.8949±0.0061,0.8742±0.0092,0.8175±0.0111,0.0316±0.0039,0.0224±0.0071,0.0111±0.0042,0.0018±0.0022
PreOrder__Subset__2,0.7495±0.0200,0.7286±0.0294,0.6148±0.0431,0.3583±0.0306,0.1230±0.0065,0.1161±0.0107,0.1135±0.0071,0.1209±0.0064,0.9079±0.0072,0.8965±0.0060,0.8718±0.0100,0.7998±0.0148,0.1892±0.0062,0.1844±0.0099,0.1864±0.0073,0.2002±0.0068,0.2096±0.0086,0.2220±0.0155,0.2784±0.0203,0.4117±0.0172,0.1204±0.0056,0.1142±0.0096,0.1118±0.0065,0.1192±0.0061,0.1463±0.0014,0.1457±0.0023,0.1481±0.0027,0.1509±0.0024,0.0881±0.0007,0.0879±0.0014,0.0899±0.0015,0.0932±0.0012,0.8941±0.0163,0.8870±0.0173,0.8356±0.0239,0.7007±0.0436,0.9633±0.0108,0.9444±0.0138,0.9033±0.0266,0.8252±0.0512,0.1622±0.0012,0.1629±0.0029,0.1692±0.0032,0.1867±0.0038,0.0891±0.0007,0.0896±0.0018,0.0938±0.0020,0.1058±0.0024,0.9041±0.0045,0.8939±0.0059,0.8680±0.0109,0.7975±0.0139,0.0303±0.0039,0.0221±0.0076,0.0118±0.0041,0.0045±0.0031
PreOrder__Subset__None,0.7487±0.0213,0.7253±0.0273,0.6074±0.0435,0.3620±0.0327,0.1242±0.0065,0.1172±0.0107,0.1144±0.0073,0.1198±0.0044,0.9083±0.0059,0.8974±0.0066,0.8764±0.0090,0.8163±0.0140,0.1904±0.0062,0.1858±0.0099,0.1887±0.0077,0.2017±0.0053,0.2121±0.0082,0.2256±0.0157,0.2842±0.0203,0.4125±0.0164,0.1216±0.0057,0.1153±0.0096,0.1129±0.0067,0.1187±0.0045,0.1465±0.0015,0.1461±0.0023,0.1488±0.0029,0.1517±0.0026,0.0883±0.0007,0.0881±0.0013,0.0902±0.0017,0.0932±0.0013,0.8958±0.0164,0.8873±0.0152,0.8334±0.0245,0.7038±0.0454,0.9652±0.0111,0.9479±0.0108,0.9150±0.0240,0.8538±0.0465,0.1628±0.0012,0.1638±0.0030,0.1712±0.0035,0.1903±0.0037,0.0894±0.0007,0.0901±0.0018,0.0949±0.0022,0.1077±0.0023,0.9047±0.0039,0.8954±0.0059,0.8730±0.0097,0.8152±0.0141,0.0312±0.0042,0.0229±0.0076,0.0106±0.0039,0.0018±0.0022
br,0.9772±0.0021,0.9734±0.0032,0.9643±0.0065,0.9313±0.0099,0.0763±0.0099,0.0804±0.0117,0.0972±0.0190,0.1290±0.0199,0.0716±0.0087,0.0745±0.0101,0.0901±0.0176,0.1288±0.0190,0.0732±0.0091,0.0761±0.0106,0.0915±0.0178,0.1243±0.0187,0.9181±0.0015,0.9173±0.0016,0.9167±0.0020,0.9083±0.0024,0.0716±0.0087,0.0737±0.0101,0.0877±0.0169,0.1158±0.0173,0.0302±0.0040,0.0341±0.0043,0.0438±0.0077,0.0669±0.0077,0.1531±0.0498,0.1917±0.0371,0.1875±0.0398,0.1582±0.0431,0.0188±0.0025,0.0212±0.0030,0.0276±0.0057,0.0465±0.0066,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9989±0.0007,0.1174±0.0148,0.1231±0.0176,0.1459±0.0268,0.1828±0.0209,0.6636±0.0581,0.6005±0.0402,0.5507±0.0622,0.3738±0.0180,0.0644±0.0084,0.0687±0.0105,0.0844±0.0170,0.1218±0.0182,0.0670±0.0081,0.0665±0.0096,0.0765±0.0146,0.0918±0.0137
cc,0.9707±0.0027,0.9710±0.0039,0.9612±0.0060,0.9321±0.0046,0.0937±0.0087,0.0875±0.0130,0.0997±0.0177,0.1318±0.0158,0.0857±0.0070,0.0810±0.0111,0.0922±0.0159,0.1313±0.0143,0.0883±0.0075,0.0829±0.0117,0.0938±0.0163,0.1270±0.0143,0.9184±0.0013,0.9177±0.0014,0.9163±0.0023,0.9093±0.0025,0.0857±0.0070,0.0802±0.0110,0.0899±0.0154,0.1187±0.0138,0.0369±0.0037,0.0372±0.0054,0.0476±0.0073,0.0675±0.0061,0.1914±0.0277,0.2009±0.0278,0.1792±0.0300,0.1536±0.0216,0.0239±0.0026,0.0233±0.0037,0.0301±0.0053,0.0465±0.0042,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9992±0.0011,0.1413±0.0127,0.1328±0.0187,0.1487±0.0245,0.1881±0.0187,0.6477±0.0405,0.6125±0.0392,0.5348±0.0519,0.3883±0.0338,0.0794±0.0077,0.0746±0.0115,0.0866±0.0157,0.1243±0.0136,0.0782±0.0058,0.0723±0.0091,0.0786±0.0130,0.0958±0.0126
