Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.5935±0.0187,0.5995±0.0315,0.5517±0.0554,0.4822±0.0640,0.6434±0.0195,0.6206±0.0255,0.5880±0.0309,0.5229±0.0300,0.7468±0.0244,0.7438±0.0331,0.7607±0.0271,0.7754±0.0451,0.6658±0.0157,0.6514±0.0215,0.6349±0.0269,0.5949±0.0285,0.7051±0.0119,0.6863±0.0157,0.6520±0.0257,0.5832±0.0232,0.5600±0.0182,0.5421±0.0224,0.5147±0.0286,0.4631±0.0280,0.5305±0.0101,0.5201±0.0181,0.5237±0.0273,0.5209±0.0280,0.4975±0.0051,0.4819±0.0167,0.4620±0.0286,0.4415±0.0267,0.5885±0.0198,0.5889±0.0273,0.6210±0.0281,0.6894±0.0695,0.9981±0.0037,0.9837±0.0143,0.9731±0.0216,0.8423±0.0465,0.6898±0.0155,0.6767±0.0190,0.6573±0.0282,0.6190±0.0257,0.6294±0.0170,0.6076±0.0222,0.5703±0.0351,0.5100±0.0255,0.7637±0.0250,0.7647±0.0290,0.7771±0.0265,0.7888±0.0414,0.2000±0.0209,0.1703±0.0278,0.1063±0.0341,0.0505±0.0214
PartialOrder__Hamming__None,0.5962±0.0104,0.6075±0.0259,0.5564±0.0560,0.4932±0.0633,0.6403±0.0223,0.6161±0.0262,0.5856±0.0288,0.5223±0.0276,0.7699±0.0275,0.7606±0.0365,0.7768±0.0247,0.7849±0.0427,0.6727±0.0191,0.6547±0.0233,0.6390±0.0252,0.5983±0.0266,0.7057±0.0119,0.6841±0.0181,0.6512±0.0245,0.5838±0.0217,0.5644±0.0229,0.5432±0.0242,0.5176±0.0253,0.4661±0.0251,0.5385±0.0122,0.5255±0.0190,0.5292±0.0250,0.5243±0.0263,0.4967±0.0087,0.4789±0.0172,0.4621±0.0259,0.4425±0.0244,0.6076±0.0213,0.6035±0.0286,0.6351±0.0254,0.6983±0.0678,0.9981±0.0037,0.9874±0.0125,0.9755±0.0208,0.8522±0.0503,0.6955±0.0184,0.6794±0.0209,0.6609±0.0266,0.6220±0.0237,0.6260±0.0202,0.6026±0.0236,0.5682±0.0336,0.5103±0.0234,0.7830±0.0278,0.7798±0.0313,0.7911±0.0222,0.7980±0.0387,0.1928±0.0265,0.1622±0.0231,0.1036±0.0297,0.0495±0.0194
PartialOrder__Subset__2,0.5906±0.0171,0.5969±0.0303,0.5492±0.0538,0.4803±0.0651,0.6433±0.0188,0.6210±0.0257,0.5868±0.0320,0.5214±0.0287,0.7472±0.0241,0.7449±0.0332,0.7579±0.0272,0.7747±0.0446,0.6660±0.0146,0.6520±0.0217,0.6331±0.0277,0.5940±0.0280,0.7051±0.0115,0.6872±0.0159,0.6506±0.0264,0.5821±0.0230,0.5604±0.0171,0.5425±0.0226,0.5130±0.0293,0.4619±0.0274,0.5307±0.0098,0.5214±0.0188,0.5228±0.0273,0.5201±0.0279,0.4974±0.0032,0.4833±0.0172,0.4618±0.0290,0.4409±0.0263,0.5889±0.0202,0.5896±0.0276,0.6189±0.0278,0.6883±0.0692,0.9963±0.0046,0.9837±0.0143,0.9719±0.0217,0.8423±0.0449,0.6898±0.0147,0.6775±0.0190,0.6556±0.0289,0.6181±0.0254,0.6294±0.0164,0.6085±0.0217,0.5693±0.0359,0.5092±0.0247,0.7638±0.0247,0.7651±0.0290,0.7743±0.0265,0.7878±0.0412,0.2036±0.0246,0.1694±0.0264,0.1063±0.0355,0.0486±0.0177
PartialOrder__Subset__None,0.5969±0.0094,0.6065±0.0274,0.5536±0.0555,0.4930±0.0645,0.6400±0.0214,0.6159±0.0271,0.5852±0.0289,0.5213±0.0273,0.7704±0.0270,0.7606±0.0376,0.7773±0.0244,0.7851±0.0416,0.6727±0.0179,0.6546±0.0247,0.6388±0.0252,0.5980±0.0260,0.7054±0.0113,0.6842±0.0189,0.6508±0.0242,0.5833±0.0214,0.5644±0.0216,0.5431±0.0257,0.5173±0.0248,0.4658±0.0247,0.5384±0.0116,0.5256±0.0208,0.5297±0.0239,0.5243±0.0262,0.4968±0.0071,0.4791±0.0181,0.4625±0.0253,0.4424±0.0245,0.6077±0.0212,0.6036±0.0297,0.6359±0.0238,0.6984±0.0674,0.9981±0.0037,0.9874±0.0125,0.9744±0.0210,0.8534±0.0495,0.6953±0.0173,0.6795±0.0221,0.6606±0.0264,0.6219±0.0233,0.6257±0.0193,0.6027±0.0240,0.5678±0.0337,0.5100±0.0233,0.7831±0.0272,0.7798±0.0322,0.7910±0.0214,0.7983±0.0377,0.1928±0.0265,0.1622±0.0231,0.1018±0.0291,0.0495±0.0194
PreOrder__Hamming__2,0.6343±0.0406,0.6226±0.0547,0.5807±0.0696,0.4469±0.0667,0.6851±0.0405,0.6629±0.0281,0.6625±0.0277,0.5948±0.0401,0.6577±0.0341,0.6236±0.0352,0.5880±0.0273,0.5557±0.0232,0.6451±0.0308,0.6172±0.0255,0.5962±0.0223,0.5459±0.0288,0.7177±0.0251,0.6973±0.0179,0.6880±0.0185,0.6387±0.0192,0.5354±0.0333,0.5055±0.0242,0.4819±0.0227,0.4263±0.0255,0.4861±0.0260,0.4637±0.0242,0.4479±0.0222,0.4377±0.0294,0.5267±0.0242,0.5061±0.0166,0.5000±0.0246,0.4587±0.0352,0.4856±0.0231,0.4605±0.0261,0.4373±0.0244,0.4307±0.0273,1.0000±0.0000,0.9898±0.0096,0.9800±0.0147,0.9023±0.0954,0.6664±0.0303,0.6396±0.0222,0.6211±0.0247,0.5704±0.0257,0.6780±0.0393,0.6551±0.0235,0.6498±0.0283,0.5841±0.0375,0.6564±0.0335,0.6256±0.0307,0.5958±0.0318,0.5582±0.0207,0.1784±0.0270,0.1514±0.0290,0.1270±0.0243,0.0766±0.0210
PreOrder__Hamming__None,0.5575±0.0261,0.5676±0.0157,0.5554±0.0395,0.4610±0.0724,0.6469±0.0232,0.6240±0.0294,0.6060±0.0312,0.5572±0.0404,0.7657±0.0265,0.7584±0.0358,0.7616±0.0208,0.7420±0.0405,0.6751±0.0180,0.6575±0.0237,0.6467±0.0203,0.6073±0.0338,0.7117±0.0102,0.6913±0.0167,0.6748±0.0167,0.6272±0.0269,0.5671±0.0220,0.5444±0.0243,0.5277±0.0203,0.4787±0.0316,0.5420±0.0087,0.5270±0.0169,0.5281±0.0157,0.5159±0.0345,0.5016±0.0097,0.4804±0.0162,0.4739±0.0222,0.4530±0.0326,0.6028±0.0186,0.5960±0.0300,0.6086±0.0235,0.6255±0.0690,0.9981±0.0037,0.9886±0.0109,0.9755±0.0112,0.8831±0.0510,0.6978±0.0166,0.6813±0.0212,0.6710±0.0174,0.6336±0.0272,0.6349±0.0220,0.6127±0.0267,0.5945±0.0305,0.5493±0.0334,0.7755±0.0260,0.7688±0.0344,0.7720±0.0186,0.7504±0.0295,0.1910±0.0454,0.1649±0.0202,0.1216±0.0345,0.0631±0.0228
PreOrder__Subset__2,0.6526±0.0532,0.6200±0.0530,0.5775±0.0532,0.4416±0.0654,0.6836±0.0432,0.6646±0.0276,0.6691±0.0293,0.5968±0.0400,0.6090±0.0350,0.5854±0.0377,0.5569±0.0294,0.5291±0.0249,0.6193±0.0353,0.5949±0.0268,0.5797±0.0237,0.5320±0.0284,0.7051±0.0246,0.6887±0.0211,0.6827±0.0178,0.6366±0.0182,0.5063±0.0374,0.4812±0.0266,0.4627±0.0232,0.4142±0.0244,0.4525±0.0328,0.4416±0.0280,0.4313±0.0190,0.4307±0.0309,0.5189±0.0325,0.5040±0.0195,0.4985±0.0232,0.4612±0.0368,0.4430±0.0223,0.4258±0.0289,0.4087±0.0180,0.4158±0.0306,1.0000±0.0000,0.9889±0.0107,0.9730±0.0183,0.8760±0.1251,0.6378±0.0334,0.6162±0.0258,0.6024±0.0249,0.5581±0.0255,0.6755±0.0420,0.6556±0.0242,0.6528±0.0290,0.5852±0.0376,0.6049±0.0327,0.5820±0.0344,0.5599±0.0293,0.5340±0.0204,0.1550±0.0319,0.1342±0.0272,0.1171±0.0217,0.0739±0.0192
PreOrder__Subset__None,0.5552±0.0262,0.5649±0.0148,0.5543±0.0374,0.4651±0.0730,0.6481±0.0254,0.6232±0.0282,0.6057±0.0316,0.5548±0.0405,0.7666±0.0254,0.7595±0.0332,0.7612±0.0195,0.7413±0.0413,0.6762±0.0197,0.6573±0.0218,0.6461±0.0211,0.6055±0.0344,0.7132±0.0124,0.6907±0.0147,0.6740±0.0178,0.6251±0.0275,0.5684±0.0239,0.5439±0.0216,0.5264±0.0212,0.4769±0.0322,0.5439±0.0110,0.5272±0.0141,0.5279±0.0174,0.5139±0.0364,0.5044±0.0136,0.4801±0.0154,0.4749±0.0245,0.4507±0.0338,0.6038±0.0181,0.5965±0.0270,0.6073±0.0223,0.6242±0.0699,0.9958±0.0052,0.9886±0.0109,0.9758±0.0115,0.8831±0.0511,0.6991±0.0180,0.6810±0.0191,0.6701±0.0185,0.6321±0.0283,0.6366±0.0238,0.6120±0.0262,0.5939±0.0313,0.5473±0.0340,0.7761±0.0251,0.7691±0.0314,0.7706±0.0174,0.7496±0.0310,0.1928±0.0465,0.1658±0.0198,0.1189±0.0327,0.0649±0.0234
br,0.6260±0.0387,0.6138±0.0387,0.5548±0.0415,0.4534±0.0678,0.6776±0.0226,0.6653±0.0276,0.6516±0.0306,0.5881±0.0455,0.6462±0.0313,0.6360±0.0346,0.6249±0.0334,0.5672±0.0264,0.6321±0.0170,0.6178±0.0232,0.6018±0.0276,0.5396±0.0309,0.7117±0.0147,0.7021±0.0165,0.6874±0.0125,0.6411±0.0231,0.5222±0.0148,0.5051±0.0241,0.4854±0.0266,0.4226±0.0287,0.4766±0.0172,0.4709±0.0175,0.4663±0.0265,0.4455±0.0317,0.5177±0.0135,0.5040±0.0169,0.4821±0.0227,0.4556±0.0387,0.4794±0.0258,0.4741±0.0213,0.4706±0.0338,0.4449±0.0329,1.0000±0.0000,0.9991±0.0028,0.9917±0.0126,0.9261±0.0962,0.6616±0.0174,0.6508±0.0234,0.6345±0.0234,0.5809±0.0262,0.6680±0.0203,0.6559±0.0282,0.6374±0.0266,0.5852±0.0451,0.6566±0.0314,0.6467±0.0307,0.6328±0.0338,0.5784±0.0211,0.1640±0.0175,0.1441±0.0285,0.1189±0.0209,0.0667±0.0229
cc,0.5378±0.0242,0.5319±0.0396,0.5069±0.0431,0.4119±0.0595,0.6622±0.0320,0.6608±0.0349,0.6388±0.0374,0.5841±0.0261,0.6929±0.0139,0.6669±0.0268,0.6212±0.0174,0.5620±0.0398,0.6508±0.0163,0.6329±0.0231,0.5948±0.0203,0.5337±0.0269,0.7147±0.0140,0.7026±0.0202,0.6824±0.0198,0.6395±0.0170,0.5461±0.0183,0.5250±0.0264,0.4800±0.0218,0.4170±0.0254,0.5179±0.0085,0.4989±0.0217,0.4713±0.0133,0.4468±0.0277,0.5135±0.0202,0.5014±0.0324,0.4836±0.0271,0.4612±0.0284,0.5374±0.0127,0.5126±0.0215,0.4752±0.0158,0.4454±0.0415,1.0000±0.0000,0.9991±0.0028,0.9944±0.0075,0.8843±0.1306,0.6794±0.0154,0.6615±0.0260,0.6305±0.0212,0.5749±0.0243,0.6581±0.0322,0.6481±0.0375,0.6322±0.0375,0.5832±0.0262,0.7036±0.0161,0.6769±0.0274,0.6304±0.0205,0.5684±0.0371,0.1946±0.0271,0.1712±0.0360,0.1180±0.0253,0.0694±0.0261
